,submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
0,2020-09-30T00:00:00.000,CO,70536,65578.0,4958,511.0,48,2051,1694.0,357,5.0,0,2020-10-01T13:42:11.951,Agree,Agree
1,2020-09-30T00:00:00.000,FL,698051,,,1880.0,264,14317,,,174.0,2,2020-10-01T13:42:11.951,Not agree,Not agree
2,2020-09-30T00:00:00.000,AZ,218507,213934.0,4573,323.0,11,5650,5382.0,268,18.0,1,2020-10-01T13:42:11.951,Agree,Agree
3,2020-09-30T00:00:00.000,SC,147942,143623.0,4319,308.0,180,3378,3186.0,192,19.0,6,2020-10-01T13:42:11.951,Agree,Agree
4,2020-09-30T00:00:00.000,CT,57550,55129.0,2421,221.0,11,4508,3610.0,898,3.0,1,2020-10-01T13:42:11.951,Agree,Agree
5,2020-09-30T00:00:00.000,NE,45564,,,520.0,0,478,,,0.0,0,2020-10-01T13:42:11.951,Not agree,Not agree
6,2020-09-30T00:00:00.000,KY,68840,60218.0,8622,984.0,310,1174,1163.0,11,4.0,0,2020-10-01T13:42:11.951,Agree,Agree
7,2020-09-30T00:00:00.000,WY,5948,5046.0,902,127.0,29,50,50.0,0,0.0,0,2020-10-01T13:42:11.951,Agree,Agree
8,2020-09-30T00:00:00.000,IA,88830,,,1199.0,72,1346,,,20.0,0,2020-10-01T13:42:11.951,Not agree,Not agree
9,2020-09-30T00:00:00.000,NM,29435,,,278.0,0,877,,,2.0,0,2020-10-01T13:42:11.951,N/A,Not agree
10,2020-09-30T00:00:00.000,ND,22218,,,372.0,0,256,,,10.0,0,2020-10-01T13:42:11.951,Not agree,Not agree
11,2020-09-30T00:00:00.000,WA,87522,,,480.0,0,2126,,,2.0,0,2020-10-01T13:42:11.951,N/A,N/A
12,2020-09-30T00:00:00.000,RMI,0,0.0,0,0.0,0,0,0.0,0,0.0,0,2020-10-01T13:42:11.951,Agree,Agree
13,2020-09-30T00:00:00.000,TN,196139,188505.0,7634,1528.0,220,2454,2356.0,98,34.0,3,2020-10-01T13:42:11.951,Agree,Agree
14,2020-09-30T00:00:00.000,AS,0,,,0.0,0,0,,,0.0,0,2020-10-01T13:42:11.951,,
