,submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
0,2020-07-08T00:00:00.000,CO,35116,32138.0,2978,452.0,50,1704,1377.0,327,8.0,3,2020-07-09T15:14:15.386,Agree,Agree
1,2020-07-08T00:00:00.000,FL,220476,,,9882.0,66,3953,,,112.0,1,2020-07-09T15:14:15.386,Not agree,Not agree
2,2020-07-08T00:00:00.000,AZ,108614,108031.0,583,3520.0,61,1963,1842.0,121,36.0,1,2020-07-09T15:14:15.386,Agree,Agree
3,2020-07-08T00:00:00.000,SC,48909,48770.0,139,1557.0,1,884,876.0,8,38.0,0,2020-07-09T15:14:15.386,Agree,Agree
4,2020-07-08T00:00:00.000,CT,47108,45129.0,1979,75.0,2,4343,3471.0,872,5.0,0,2020-07-09T15:14:15.386,Agree,Agree
5,2020-07-08T00:00:00.000,NE,20425,,,224.0,0,282,,,0.0,0,2020-07-09T15:14:15.386,Not agree,Not agree
6,2020-07-08T00:00:00.000,KY,17919,17202.0,717,400.0,62,608,604.0,4,6.0,0,2020-07-09T15:14:15.386,Agree,Agree
7,2020-07-08T00:00:00.000,WY,1740,1404.0,336,29.0,3,21,21.0,0,1.0,0,2020-07-09T15:14:15.386,Agree,Agree
8,2020-07-08T00:00:00.000,IA,32509,,,480.0,0,735,,,10.0,0,2020-07-09T15:14:15.386,Not agree,Not agree
9,2020-07-08T00:00:00.000,NM,14017,,,290.0,0,527,,,8.0,0,2020-07-09T15:14:15.386,N/A,Not agree
10,2020-07-08T00:00:00.000,ND,3971,,,73.0,0,89,,,5.0,4,2020-07-09T15:14:15.386,Not agree,Not agree
11,2020-07-08T00:00:00.000,WA,37941,,,521.0,0,1394,,,10.0,0,2020-07-09T15:14:15.386,N/A,N/A
12,2020-07-08T00:00:00.000,RMI,0,0.0,0,0.0,0,0,0.0,0,0.0,0,2020-07-09T15:14:15.386,Agree,Agree
13,2020-07-08T00:00:00.000,TN,55986,55567.0,419,2472.0,21,685,660.0,25,20.0,0,2020-07-09T15:14:15.386,Agree,Agree
14,2020-07-08T00:00:00.000,AS,0,,,0.0,0,0,,,0.0,0,2020-07-09T15:14:15.386,,
15,2020-07-08T00:00:00.000,MA,110602,104961.0,5641,264.0,102,8243,8028.0,215,30.0,0,2020-07-09T15:14:15.386,Agree,Agree
16,2020-07-08T00:00:00.000,PA,92867,90202.0,2665,719.0,32,6848,,,36.0,31,2020-07-09T15:14:15.386,Agree,Not agree
17,2020-07-08T00:00:00.000,NYC,219567,214952.0,4615,391.0,9,23247,18637.0,4610,23.0,4,2020-07-09T15:14:15.386,Agree,Agree
18,2020-07-08T00:00:00.000,OH,60181,56384.0,3797,1277.0,43,2991,2737.0,254,21.0,2,2020-07-09T15:14:15.386,Agree,Agree
19,2020-07-08T00:00:00.000,AL,46991,46453.0,538,1170.0,16,1057,1032.0,25,25.0,0,2020-07-09T15:14:15.386,Agree,Agree
20,2020-07-08T00:00:00.000,VA,67988,65191.0,2797,613.0,5,1937,1832.0,105,32.0,-1,2020-07-09T15:14:15.386,Agree,Agree
21,2020-07-08T00:00:00.000,MI,74551,67237.0,7314,651.0,41,6262,6015.0,247,11.0,1,2020-07-09T15:14:15.386,Agree,Agree
22,2020-07-08T00:00:00.000,MS,33591,33309.0,282,1377.0,34,1204,1184.0,20,46.0,1,2020-07-09T15:14:15.386,Agree,Agree
23,2020-07-08T00:00:00.000,WI,36410,33154.0,3256,645.0,47,814,807.0,7,2.0,0,2020-07-09T15:14:15.386,Agree,Agree
24,2020-07-08T00:00:00.000,IL,150554,149432.0,1122,980.0,0,7309,7099.0,210,36.0,0,2020-07-09T15:14:15.386,Agree,Agree
25,2020-07-08T00:00:00.000,CA,289468,,,11694.0,0,6562,,,74.0,0,2020-07-09T15:14:15.386,Not agree,Not agree
26,2020-07-08T00:00:00.000,TX,220564,,,9979.0,0,2813,,,98.0,0,2020-07-09T15:14:15.386,Not agree,Not agree
27,2020-07-08T00:00:00.000,PR,8862,2235.0,6627,117.0,53,159,64.0,95,0.0,0,2020-07-09T15:14:15.386,Agree,Agree
28,2020-07-08T00:00:00.000,NJ,174039,,,161.0,0,15423,13476.0,1947,142.0,91,2020-07-09T15:14:15.386,Not agree,Agree
29,2020-07-08T00:00:00.000,NC,77310,77310.0,0,1435.0,0,1441,1441.0,0,21.0,0,2020-07-09T15:14:15.386,Agree,Agree
30,2020-07-08T00:00:00.000,LA,70151,,,1888.0,0,3339,3231.0,108,20.0,0,2020-07-09T15:14:15.386,Not agree,Agree
31,2020-07-08T00:00:00.000,OK,17357,17231.0,126,856.0,-1,424,424.0,0,8.0,0,2020-07-09T15:14:15.386,Agree,Agree
32,2020-07-08T00:00:00.000,NV,24587,,,567.0,51,576,,,5.0,0,2020-07-09T15:14:15.386,,
33,2020-07-08T00:00:00.000,ID,8969,8307.0,662,430.0,7,98,78.0,20,4.0,0,2020-07-09T15:14:15.386,Agree,Agree
34,2020-07-08T00:00:00.000,GA,103890,,,3420.0,0,2922,,,23.0,0,2020-07-09T15:14:15.386,Not agree,Not agree
35,2020-07-08T00:00:00.000,IN,49063,,,437.0,0,2732,2539.0,193,15.0,0,2020-07-09T15:14:15.386,Not agree,Agree
36,2020-07-08T00:00:00.000,NY,181152,,,403.0,0,8721,,,5.0,0,2020-07-09T15:14:15.386,Not agree,Not agree
37,2020-07-08T00:00:00.000,MD,71447,,,586.0,0,3288,3160.0,128,13.0,2,2020-07-09T15:14:15.386,N/A,Agree
38,2020-07-08T00:00:00.000,AR,25246,,,734.0,0,305,,,4.0,0,2020-07-09T15:14:15.386,Not agree,Not agree
39,2020-07-08T00:00:00.000,OR,10819,10278.0,541,214.0,541,224,221.0,3,4.0,3,2020-07-09T15:14:15.386,Agree,Agree
40,2020-07-08T00:00:00.000,MN,40136,,,1003.0,0,1528,1490.0,38,14.0,1,2020-07-09T15:14:15.386,N/A,Agree
41,2020-07-08T00:00:00.000,MO,25204,,,575.0,0,1046,,,4.0,0,2020-07-09T15:14:15.386,Not agree,Not agree
42,2020-07-08T00:00:00.000,UT,27480,27248.0,232,774.0,-4,201,201.0,0,2.0,0,2020-07-09T15:14:15.386,Agree,Agree
43,2020-07-08T00:00:00.000,WV,3707,3602.0,105,202.0,-1,95,,,0.0,0,2020-07-09T15:14:15.386,Agree,Not agree
44,2020-07-08T00:00:00.000,DE,12610,11566.0,1044,85.0,0,517,460.0,57,2.0,0,2020-07-09T15:14:15.386,Agree,Agree
45,2020-07-08T00:00:00.000,SD,7242,,,79.0,0,98,97.0,1,0.0,0,2020-07-09T15:14:15.386,N/A,Agree
46,2020-07-08T00:00:00.000,RI,17204,,,50.0,0,971,,,2.0,0,2020-07-09T15:14:15.386,Not agree,N/A
47,2020-07-08T00:00:00.000,NH,5952,,,20.0,0,386,,,2.0,0,2020-07-09T15:14:15.386,Not agree,Not agree
48,2020-07-08T00:00:00.000,DC,10642,,,73.0,0,564,,,3.0,0,2020-07-09T15:14:15.386,,
