,submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
0,2020-09-13T00:00:00.000,CO,61324,57099.0,4225,417.0,22,1988,1637.0,351,0.0,0,2020-09-14T14:01:21.851,Agree,Agree
1,2020-09-13T00:00:00.000,FL,656485,,,2395.0,79,12608,,,8.0,0,2020-09-14T14:01:21.851,Not agree,Not agree
2,2020-09-13T00:00:00.000,AZ,208512,206611.0,1901,384.0,-4,5322,5049.0,273,7.0,-1,2020-09-14T14:01:21.851,Agree,Agree
3,2020-09-13T00:00:00.000,SC,131864,129484.0,2380,1886.0,48,3064,2915.0,149,24.0,0,2020-09-14T14:01:21.851,Agree,Agree
4,2020-09-13T00:00:00.000,CT,54326,52095.0,2231,0.0,0,4480,3595.0,885,0.0,0,2020-09-14T14:01:21.851,Agree,Agree
5,2020-09-13T00:00:00.000,NE,38188,,,80.0,0,434,,,0.0,0,2020-09-14T14:01:21.851,Not agree,Not agree
6,2020-09-13T00:00:00.000,KY,56945,51018.0,5927,530.0,47,1060,1051.0,9,3.0,0,2020-09-14T14:01:21.851,Agree,Agree
7,2020-09-13T00:00:00.000,WY,4346,3679.0,667,49.0,5,42,42.0,0,0.0,0,2020-09-14T14:01:21.851,Agree,Agree
8,2020-09-13T00:00:00.000,IA,74506,,,809.0,25,1218,,,1.0,0,2020-09-14T14:01:21.851,Not agree,Not agree
9,2020-09-13T00:00:00.000,NM,26761,,,100.0,0,823,,,2.0,0,2020-09-14T14:01:21.851,N/A,Not agree
10,2020-09-13T00:00:00.000,ND,15831,,,254.0,0,170,,,2.0,0,2020-09-14T14:01:21.851,Not agree,Not agree
11,2020-09-13T00:00:00.000,WA,79826,,,350.0,0,1991,,,0.0,0,2020-09-14T14:01:21.851,N/A,N/A
12,2020-09-13T00:00:00.000,RMI,0,0.0,0,0.0,0,0,0.0,0,0.0,0,2020-09-14T14:01:21.851,Agree,Agree
13,2020-09-13T00:00:00.000,TN,171824,166799.0,5025,933.0,56,2078,2008.0,70,14.0,1,2020-09-14T14:01:21.851,Agree,Agree
14,2020-09-13T00:00:00.000,AS,0,,,0.0,0,0,,,0.0,0,2020-09-14T14:01:21.851,,
15,2020-09-13T00:00:00.000,MA,132800,122904.0,9896,267.0,0,9209,9001.0,208,14.0,0,2020-09-14T14:01:21.851,Agree,Agree
16,2020-09-13T00:00:00.000,PA,144774,140565.0,4209,969.0,27,7869,,,7.0,2,2020-09-14T14:01:21.851,Agree,Not agree
17,2020-09-13T00:00:00.000,NYC,238945,233636.0,5309,423.0,3,23750,19124.0,4626,7.0,3,2020-09-14T14:01:21.851,Agree,Agree
18,2020-09-13T00:00:00.000,OH,137405,130196.0,7209,837.0,94,4415,4122.0,293,4.0,0,2020-09-14T14:01:21.851,Agree,Agree
19,2020-09-13T00:00:00.000,AL,138755,125795.0,12960,1109.0,137,2351,2218.0,133,1.0,0,2020-09-14T14:01:21.851,Agree,Agree
20,2020-09-13T00:00:00.000,VA,134571,128400.0,6171,757.0,29,2743,2607.0,136,19.0,3,2020-09-14T14:01:21.851,Agree,Agree
21,2020-09-13T00:00:00.000,MI,123058,111524.0,11534,0.0,0,6911,6591.0,320,0.0,0,2020-09-14T14:01:21.851,Agree,Agree
22,2020-09-13T00:00:00.000,MS,90018,84557.0,5461,144.0,38,2706,2523.0,183,9.0,0,2020-09-14T14:01:21.851,Agree,Agree
23,2020-09-13T00:00:00.000,WI,94679,89185.0,5494,1624.0,42,1218,1210.0,8,1.0,0,2020-09-14T14:01:21.851,Agree,Agree
24,2020-09-13T00:00:00.000,IL,263466,261371.0,2095,1462.0,0,8541,8309.0,232,14.0,0,2020-09-14T14:01:21.851,Agree,Agree
25,2020-09-13T00:00:00.000,CA,754923,,,4625.0,0,14329,,,78.0,0,2020-09-14T14:01:21.851,Not agree,Not agree
26,2020-09-13T00:00:00.000,TX,659434,,,1845.0,0,14190,,,47.0,0,2020-09-14T14:01:21.851,Not agree,Not agree
27,2020-09-13T00:00:00.000,PR,37750,17977.0,19773,370.0,162,542,376.0,166,3.0,0,2020-09-14T14:01:21.851,Agree,Agree
28,2020-09-13T00:00:00.000,NJ,196634,,,297.0,0,16031,14242.0,1789,4.0,0,2020-09-14T14:01:21.851,Not agree,Agree
29,2020-09-13T00:00:00.000,NC,184936,184936.0,0,1196.0,0,3052,3052.0,0,5.0,0,2020-09-14T14:01:21.851,Agree,Agree
30,2020-09-13T00:00:00.000,LA,158390,,,1281.0,0,5235,5065.0,170,33.0,0,2020-09-14T14:01:21.851,Not agree,Agree
31,2020-09-13T00:00:00.000,OK,76339,69354.0,6985,1612.0,0,905,905.0,0,6.0,0,2020-09-14T14:01:21.851,Agree,Agree
32,2020-09-13T00:00:00.000,NV,73766,,,317.0,0,1487,,,3.0,0,2020-09-14T14:01:21.851,,
33,2020-09-13T00:00:00.000,ID,35279,32506.0,2773,112.0,17,415,378.0,37,0.0,0,2020-09-14T14:01:21.851,Agree,Agree
34,2020-09-13T00:00:00.000,GA,294394,,,1489.0,0,6444,,,157.0,0,2020-09-14T14:01:21.851,Not agree,Not agree
35,2020-09-13T00:00:00.000,IN,105804,,,1243.0,0,3438,3214.0,224,1.0,0,2020-09-14T14:01:21.851,Not agree,Agree
36,2020-09-13T00:00:00.000,NY,206563,,,481.0,0,8992,,,4.0,0,2020-09-14T14:01:21.851,Not agree,Not agree
37,2020-09-13T00:00:00.000,MD,116646,,,536.0,0,3839,3696.0,143,1.0,0,2020-09-14T14:01:21.851,N/A,Agree
38,2020-09-13T00:00:00.000,AR,70219,,,509.0,1,976,,,12.0,0,2020-09-14T14:01:21.851,Not agree,Not agree
39,2020-09-13T00:00:00.000,OR,29337,27970.0,1367,181.0,0,509,496.0,13,4.0,0,2020-09-14T14:01:21.851,Agree,Agree
40,2020-09-13T00:00:00.000,MN,84949,,,638.0,0,1974,1922.0,52,3.0,0,2020-09-14T14:01:21.851,N/A,Agree
41,2020-09-13T00:00:00.000,MO,102747,,,1613.0,0,1705,,,1.0,0,2020-09-14T14:01:21.851,Not agree,Not agree
42,2020-09-13T00:00:00.000,UT,58745,58257.0,488,542.0,4,434,433.0,1,2.0,1,2020-09-14T14:01:21.851,Agree,Agree
43,2020-09-13T00:00:00.000,WV,12699,12403.0,296,178.0,0,266,,,1.0,0,2020-09-14T14:01:21.851,Agree,Not agree
44,2020-09-13T00:00:00.000,DE,18937,17945.0,992,88.0,0,617,545.0,72,2.0,0,2020-09-14T14:01:21.851,Agree,Agree
45,2020-09-13T00:00:00.000,SD,16638,,,201.0,0,184,182.0,2,1.0,0,2020-09-14T14:01:21.851,N/A,Agree
