,submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
0,2020-06-20T00:00:00.000,CO,30349,27608.0,2741,162.0,7,1647,1310.0,337,4.0,0,2020-06-21T14:32:57.913,Agree,Agree
1,2020-06-20T00:00:00.000,FL,91670,,,4027.0,0,3144,,,40.0,0,2020-06-21T14:32:57.913,Not agree,Not agree
2,2020-06-20T00:00:00.000,AZ,49798,49426.0,372,3109.0,6,1338,1247.0,91,26.0,3,2020-06-21T14:32:57.913,Agree,Agree
3,2020-06-20T00:00:00.000,SC,23786,23756.0,30,1155.0,7,644,644.0,0,5.0,0,2020-06-21T14:32:57.913,Agree,Agree
4,2020-06-20T00:00:00.000,CT,45715,43763.0,1952,158.0,5,4251,3394.0,857,13.0,4,2020-06-21T14:32:57.913,Agree,Agree
5,2020-06-20T00:00:00.000,NE,17707,,,116.0,0,244,,,0.0,0,2020-06-21T14:32:57.913,Not agree,Not agree
6,2020-06-20T00:00:00.000,KY,13630,13253.0,377,176.0,20,524,521.0,3,2.0,0,2020-06-21T14:32:57.913,Agree,Agree
7,2020-06-20T00:00:00.000,WY,1179,930.0,249,6.0,3,20,20.0,0,0.0,0,2020-06-21T14:32:57.913,Agree,Agree
8,2020-06-20T00:00:00.000,IA,25496,,,221.0,0,682,,,1.0,0,2020-06-21T14:32:57.913,Not agree,Not agree
9,2020-06-20T00:00:00.000,NM,10430,,,170.0,0,466,,,2.0,0,2020-06-21T14:32:57.913,N/A,Not agree
10,2020-06-20T00:00:00.000,ND,3251,,,25.0,0,76,,,0.0,0,2020-06-21T14:32:57.913,Not agree,Not agree
11,2020-06-20T00:00:00.000,WA,28225,,,624.0,0,1265,,,10.0,0,2020-06-21T14:32:57.913,N/A,N/A
12,2020-06-20T00:00:00.000,RMI,0,0.0,0,0.0,0,0,0.0,0,0.0,0,2020-06-21T14:32:57.913,Agree,Agree
13,2020-06-20T00:00:00.000,TN,34446,34207.0,239,429.0,-2,524,503.0,21,9.0,0,2020-06-21T14:32:57.913,Agree,Agree
14,2020-06-20T00:00:00.000,AS,0,,,0.0,0,0,,,0.0,0,2020-06-21T14:32:57.913,,
15,2020-06-20T00:00:00.000,MA,106936,102228.0,4708,286.0,63,7828,7647.0,181,28.0,0,2020-06-21T14:32:57.913,Agree,Agree
16,2020-06-20T00:00:00.000,PA,81730,79405.0,2325,464.0,6,6423,,,4.0,0,2020-06-21T14:32:57.913,Agree,Not agree
17,2020-06-20T00:00:00.000,NYC,214002,209313.0,4689,558.0,8,22285,17596.0,4689,41.0,8,2020-06-21T14:32:57.913,Agree,Agree
18,2020-06-20T00:00:00.000,OH,44262,41062.0,3200,531.0,18,2697,2460.0,237,30.0,0,2020-06-21T14:32:57.913,Agree,Agree
19,2020-06-20T00:00:00.000,AL,29549,29126.0,423,532.0,4,838,828.0,10,15.0,0,2020-06-21T14:32:57.913,Agree,Agree
20,2020-06-20T00:00:00.000,VA,57994,55504.0,2490,551.0,0,1611,1508.0,103,4.0,0,2020-06-21T14:32:57.913,Agree,Agree
21,2020-06-20T00:00:00.000,MI,67545,61084.0,6461,448.0,193,6087,5843.0,244,20.0,0,2020-06-21T14:32:57.913,Agree,Agree
22,2020-06-20T00:00:00.000,MS,20641,20500.0,141,0.0,0,938,922.0,16,0.0,0,2020-06-21T14:32:57.913,Agree,Agree
