,submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
0,2020-07-02T00:00:00.000,CO,33352,30453.0,2899,323.0,3,1701,1365.0,336,4.0,1,2020-07-03T15:01:33.762,Agree,Agree
1,2020-07-02T00:00:00.000,FL,166303,,,10015.0,0,3617,,,67.0,0,2020-07-03T15:01:33.762,Not agree,Not agree
2,2020-07-02T00:00:00.000,AZ,87425,86970.0,455,3333.0,8,1757,1642.0,115,37.0,2,2020-07-03T15:01:33.762,Agree,Agree
3,2020-07-02T00:00:00.000,SC,39701,39587.0,114,1782.0,4,784,777.0,7,18.0,0,2020-07-03T15:01:33.762,Agree,Agree
4,2020-07-02T00:00:00.000,CT,46646,44672.0,1974,74.0,-5,4326,3459.0,867,2.0,0,2020-07-03T15:01:33.762,Agree,Agree
5,2020-07-02T00:00:00.000,NE,19452,,,142.0,0,282,,,6.0,0,2020-07-03T15:01:33.762,Not agree,Not agree
6,2020-07-02T00:00:00.000,KY,16079,15508.0,571,237.0,15,581,577.0,4,9.0,0,2020-07-03T15:01:33.762,Agree,Agree
7,2020-07-02T00:00:00.000,WY,1550,1233.0,317,36.0,6,20,20.0,0,0.0,0,2020-07-03T15:01:33.762,Agree,Agree
8,2020-07-02T00:00:00.000,IA,30209,,,751.0,0,718,,,1.0,0,2020-07-03T15:01:33.762,Not agree,Not agree
9,2020-07-02T00:00:00.000,NM,12520,,,244.0,0,503,,,3.0,-8,2020-07-03T15:01:33.762,N/A,Not agree
10,2020-07-02T00:00:00.000,ND,3657,,,42.0,0,80,,,0.0,0,2020-07-03T15:01:33.762,Not agree,Not agree
11,2020-07-02T00:00:00.000,WA,34151,,,716.0,0,1342,,,3.0,0,2020-07-03T15:01:33.762,N/A,N/A
12,2020-07-02T00:00:00.000,RMI,0,0.0,0,0.0,0,0,0.0,0,0.0,0,2020-07-03T15:01:33.762,Agree,Agree
13,2020-07-02T00:00:00.000,TN,46890,46520.0,370,1575.0,6,620,594.0,26,11.0,0,2020-07-03T15:01:33.762,Agree,Agree
14,2020-07-02T00:00:00.000,AS,0,,,0.0,0,0,,,0.0,0,2020-07-03T15:01:33.762,,
15,2020-07-02T00:00:00.000,MA,109338,104016.0,5322,195.0,37,8132,7918.0,214,51.0,35,2020-07-03T15:01:33.762,Agree,Agree
16,2020-07-02T00:00:00.000,PA,88741,86205.0,2536,667.0,35,6746,,,34.0,29,2020-07-03T15:01:33.762,Agree,Not agree
17,2020-07-02T00:00:00.000,NYC,217817,213212.0,4605,439.0,1,23140,18535.0,4605,17.0,1,2020-07-03T15:01:33.762,Agree,Agree
18,2020-07-02T00:00:00.000,OH,54166,50523.0,3643,1301.0,41,2886,2637.0,249,10.0,-1,2020-07-03T15:01:33.762,Agree,Agree
