,submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
0,2020-10-04T00:00:00.000,CO,73076,68016.0,5060,1178.0,53,2067,1706.0,361,10.0,0,2020-10-05T13:49:47.107,Agree,Agree
1,2020-10-04T00:00:00.000,FL,707751,,,1813.0,252,14671,,,43.0,0,2020-10-05T13:49:47.107,Not agree,Not agree
2,2020-10-04T00:00:00.000,AZ,220754,216027.0,4727,355.0,16,5706,5422.0,284,1.0,0,2020-10-05T13:49:47.107,Agree,Agree
3,2020-10-04T00:00:00.000,SC,151582,146576.0,5006,691.0,68,3453,3255.0,198,11.0,-1,2020-10-05T13:49:47.107,Agree,Agree
4,2020-10-04T00:00:00.000,CT,58297,55862.0,2435,0.0,0,4513,3614.0,899,0.0,0,2020-10-05T13:49:47.107,Agree,Agree
5,2020-10-04T00:00:00.000,NE,47807,,,404.0,0,501,,,4.0,0,2020-10-05T13:49:47.107,Not agree,Not agree
6,2020-10-04T00:00:00.000,KY,72617,63189.0,9428,616.0,96,1209,1197.0,12,4.0,0,2020-10-05T13:49:47.107,Agree,Agree
7,2020-10-04T00:00:00.000,WY,6504,5546.0,958,139.0,8,53,53.0,0,0.0,0,2020-10-05T13:49:47.107,Agree,Agree
8,2020-10-04T00:00:00.000,IA,92584,,,620.0,8,1383,,,6.0,0,2020-10-05T13:49:47.107,Not agree,Not agree
9,2020-10-04T00:00:00.000,NM,30477,,,181.0,0,892,,,2.0,0,2020-10-05T13:49:47.107,N/A,Not agree
10,2020-10-04T00:00:00.000,ND,23862,,,312.0,0,277,,,3.0,0,2020-10-05T13:49:47.107,Not agree,Not agree
11,2020-10-04T00:00:00.000,WA,89874,,,455.0,0,2142,,,0.0,0,2020-10-05T13:49:47.107,N/A,N/A
12,2020-10-04T00:00:00.000,RMI,0,0.0,0,0.0,0,0,0.0,0,0.0,0,2020-10-05T13:49:47.107,Agree,Agree
13,2020-10-04T00:00:00.000,TN,201210,192906.0,8304,1615.0,151,2577,2469.0,108,17.0,1,2020-10-05T13:49:47.107,Agree,Agree
14,2020-10-04T00:00:00.000,AS,0,,,0.0,0,0,,,0.0,0,2020-10-05T13:49:47.107,,
15,2020-10-04T00:00:00.000,MA,142336,132440.0,9896,626.0,0,9503,9295.0,208,3.0,0,2020-10-05T13:49:47.107,Agree,Agree
16,2020-10-04T00:00:00.000,PA,163535,158001.0,5534,2251.0,156,8216,,,17.0,26,2020-10-05T13:49:47.107,Agree,Not agree
