,submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
0,2020-10-24T00:00:00.000,CO,93400,86815.0,6585,1828.0,93,2218,1835.0,383,7.0,1,2020-10-25T13:45:35.790,Agree,Agree
1,2020-10-24T00:00:00.000,FL,766305,,,4381.0,754,16417,,,77.0,-1,2020-10-25T13:45:35.790,Not agree,Not agree
2,2020-10-24T00:00:00.000,AZ,236772,231355.0,5417,890.0,23,5869,5581.0,288,4.0,1,2020-10-25T13:45:35.790,Agree,Agree
3,2020-10-24T00:00:00.000,SC,169341,161836.0,7505,792.0,191,3793,3560.0,233,16.0,1,2020-10-25T13:45:35.790,Agree,Agree
4,2020-10-24T00:00:00.000,CT,66052,63376.0,2676,0.0,0,4577,3674.0,903,0.0,0,2020-10-25T13:45:35.790,Agree,Agree
5,2020-10-24T00:00:00.000,NE,63215,,,705.0,0,595,,,4.0,0,2020-10-25T13:45:35.790,Not agree,Not agree
6,2020-10-24T00:00:00.000,KY,95480,80735.0,14745,1732.0,272,1404,1385.0,19,8.0,1,2020-10-25T13:45:35.790,Agree,Agree
7,2020-10-24T00:00:00.000,WY,10805,9177.0,1628,260.0,1,68,68.0,0,0.0,0,2020-10-25T13:45:35.790,Agree,Agree
8,2020-10-24T00:00:00.000,IA,114631,,,1733.0,76,1631,,,11.0,0,2020-10-25T13:45:35.790,Not agree,Not agree
9,2020-10-24T00:00:00.000,NM,41040,,,872.0,0,965,,,5.0,0,2020-10-25T13:45:35.790,N/A,Not agree
10,2020-10-24T00:00:00.000,ND,37719,,,845.0,0,456,,,8.0,0,2020-10-25T13:45:35.790,Not agree,Not agree
11,2020-10-24T00:00:00.000,WA,102264,,,919.0,0,2296,,,0.0,0,2020-10-25T13:45:35.790,N/A,N/A
12,2020-10-24T00:00:00.000,RMI,0,0.0,0,0.0,0,0,0.0,0,0.0,0,2020-10-25T13:45:35.790,Agree,Agree
13,2020-10-24T00:00:00.000,TN,244087,231171.0,12916,2574.0,333,3100,2944.0,156,24.0,3,2020-10-25T13:45:35.790,Agree,Agree
14,2020-10-24T00:00:00.000,AS,0,,,0.0,0,0,,,0.0,0,2020-10-25T13:45:35.790,,
15,2020-10-24T00:00:00.000,MA,155919,146023.0,9896,1128.0,0,9824,9616.0,208,8.0,0,2020-10-25T13:45:35.790,Agree,Agree
16,2020-10-24T00:00:00.000,PA,192622,184299.0,8323,2043.0,180,8654,,,29.0,24,2020-10-25T13:45:35.790,Agree,Not agree
17,2020-10-24T00:00:00.000,NYC,260973,252285.0,8688,753.0,406,23967,19314.0,4653,4.0,1,2020-10-25T13:45:35.790,Agree,Agree
18,2020-10-24T00:00:00.000,OH,195806,184528.0,11278,2858.0,199,5206,4896.0,310,22.0,0,2020-10-25T13:45:35.790,Agree,Agree
19,2020-10-24T00:00:00.000,AL,183276,156946.0,26330,2360.0,1329,2866,2680.0,186,7.0,1,2020-10-25T13:45:35.790,Agree,Agree
20,2020-10-24T00:00:00.000,VA,173371,161668.0,11703,999.0,174,3579,3329.0,250,1.0,0,2020-10-25T13:45:35.790,Agree,Agree
21,2020-10-24T00:00:00.000,MI,175612,158026.0,17586,3490.0,152,7522,7182.0,340,38.0,3,2020-10-25T13:45:35.790,Agree,Agree
22,2020-10-24T00:00:00.000,MS,115316,101871.0,13445,228.0,40,3257,2946.0,311,2.0,0,2020-10-25T13:45:35.790,Agree,Agree
23,2020-10-24T00:00:00.000,WI,205139,194540.0,10599,4673.0,611,1803,1770.0,33,29.0,4,2020-10-25T13:45:35.790,Agree,Agree
24,2020-10-24T00:00:00.000,IL,374907,370194.0,4713,6161.0,0,9751,9481.0,270,63.0,0,2020-10-25T13:45:35.790,Agree,Agree
25,2020-10-24T00:00:00.000,CA,892810,,,5945.0,0,17311,,,49.0,0,2020-10-25T13:45:35.790,Not agree,Not agree
26,2020-10-24T00:00:00.000,TX,858071,,,6499.0,0,17456,,,81.0,0,2020-10-25T13:45:35.790,Not agree,Not agree
27,2020-10-24T00:00:00.000,PR,62503,31737.0,30766,1223.0,558,801,610.0,191,7.0,1,2020-10-25T13:45:35.790,Agree,Agree
28,2020-10-24T00:00:00.000,NJ,227339,,,1909.0,0,16281,14492.0,1789,8.0,0,2020-10-25T13:45:35.790,Not agree,Agree
29,2020-10-24T00:00:00.000,NC,258292,248620.0,9672,2584.0,310,4144,4085.0,59,30.0,3,2020-10-25T13:45:35.790,Agree,Agree
30,2020-10-24T00:00:00.000,LA,182603,,,0.0,0,5820,5614.0,206,0.0,0,2020-10-25T13:45:35.790,Not agree,Agree
31,2020-10-24T00:00:00.000,OK,122102,106352.0,15750,1834.0,270,1252,1221.0,31,11.0,0,2020-10-25T13:45:35.790,Agree,Agree
32,2020-10-24T00:00:00.000,NV,94812,,,1146.0,0,1743,,,5.0,0,2020-10-25T13:45:35.790,,
