,submission_date,state,tot_cases,new_case,tot_death,new_death,created_at,consent_cases,consent_deaths,conf_cases,prob_cases,pnew_case,conf_death,prob_death,pnew_death
0,2020-04-18T00:00:00.000,CO,9433,386.0,411,20.0,2020-04-18T16:22:39.452,Agree,Agree,,,,,,
1,2020-04-18T00:00:00.000,FL,24797,731.0,748,22.0,2020-04-18T16:22:39.452,Not agree,Not agree,,,,,,
2,2020-04-18T00:00:00.000,AZ,4719,212.0,177,8.0,2020-04-18T16:22:39.452,Agree,Agree,,,,,,
3,2020-04-18T00:00:00.000,SC,4246,160.0,119,3.0,2020-04-18T16:22:39.452,Agree,Agree,,,,,,
4,2020-04-18T00:00:00.000,CT,17550,741.0,1086,50.0,2020-04-18T16:22:39.452,Agree,Agree,,,,,,
5,2020-04-18T00:00:00.000,NE,1287,149.0,28,4.0,2020-04-18T16:22:39.452,Not agree,Not agree,,,,,,
6,2020-04-18T00:00:00.000,KY,2707,185.0,144,7.0,2020-04-18T16:22:39.452,Agree,Agree,,,,,,
7,2020-04-18T00:00:00.000,WY,423,11.0,2,0.0,2020-04-18T16:22:39.452,Agree,Agree,310.0,113,6,2.0,0,0
8,2020-04-18T00:00:00.000,IA,2513,181.0,74,10.0,2020-04-18T16:22:39.452,Not agree,Not agree,,,,,,
9,2020-04-18T00:00:00.000,NM,1798,87.0,53,2.0,2020-04-18T16:22:39.452,N/A,Not agree,,,,,,
10,2020-04-18T00:00:00.000,ND,528,89.0,9,0.0,2020-04-18T16:22:39.452,Not agree,Not agree,,,,,,
11,2020-04-18T00:00:00.000,WA,11802,357.0,624,21.0,2020-04-18T16:22:39.452,N/A,N/A,,,,,,
12,2020-04-18T00:00:00.000,RMI,0,0.0,0,0.0,2020-04-18T16:22:39.452,Agree,Agree,,,,,,
13,2020-04-18T00:00:00.000,TN,6763,433.0,145,4.0,2020-04-18T16:22:39.452,Agree,Agree,,,,,,
14,2020-04-18T00:00:00.000,AS,0,0.0,0,0.0,2020-04-18T16:22:39.452,,,,,,,,
