,submission_date,state,tot_cases,new_case,tot_death,new_death,created_at,consent_cases,consent_deaths,conf_cases,prob_cases,pnew_case
0,2020-04-13T00:00:00.000,CO,7691,388.0,308,18.0,2020-04-12T16:22:39.452,Agree,Agree,,,
1,2020-04-13T00:00:00.000,FL,20394,1057.0,499,38.0,2020-04-12T16:22:39.452,Not agree,Not agree,,,
2,2020-04-13T00:00:00.000,AZ,3702,163.0,122,7.0,2020-04-12T16:22:39.452,Agree,Agree,,,
3,2020-04-13T00:00:00.000,SC,3439,120.0,87,5.0,2020-04-12T16:22:39.452,Agree,Agree,,,
4,2020-04-13T00:00:00.000,CT,13381,1346.0,602,48.0,2020-04-12T16:22:39.452,Agree,Agree,,,
5,2020-04-13T00:00:00.000,NE,871,57.0,18,1.0,2020-04-12T16:22:39.452,Not agree,Not agree,,,
6,2020-04-13T00:00:00.000,KY,2048,85.0,104,7.0,2020-04-12T16:22:39.452,Agree,Agree,,,
7,2020-04-13T00:00:00.000,WY,373,103.0,1,1.0,2020-04-12T16:22:39.452,Agree,Agree,275.0,98,98
8,2020-04-13T00:00:00.000,IA,1710,123.0,43,2.0,2020-04-12T16:22:39.452,Not agree,Not agree,,,
9,2020-04-13T00:00:00.000,NM,1345,100.0,31,5.0,2020-04-12T16:22:39.452,N/A,Not agree,,,
10,2020-04-13T00:00:00.000,ND,331,23.0,8,0.0,2020-04-12T16:22:39.452,Not agree,Not agree,,,
11,2020-04-13T00:00:00.000,WA,10538,127.0,508,0.0,2020-04-12T16:22:39.452,N/A,N/A,,,
12,2020-04-13T00:00:00.000,RMI,0,0.0,0,0.0,2020-04-12T16:22:39.452,Agree,Agree,,,
13,2020-04-13T00:00:00.000,TN,5610,302.0,109,8.0,2020-04-12T16:22:39.452,Agree,Agree,,,
14,2020-04-13T00:00:00.000,AS,0,0.0,0,0.0,2020-04-12T16:22:39.452,,,,,
15,2020-04-13T00:00:00.000,MA,26867,1392.0,844,88.0,2020-04-12T16:22:39.452,Agree,Agree,,,
16,2020-04-13T00:00:00.000,PA,24199,1366.0,524,17.0,2020-04-12T16:22:39.452,Agree,Not agree,,,
17,2020-04-13T00:00:00.000,NYC,106813,3605.0,6182,-537.0,2020-04-12T16:22:39.452,Agree,Agree,,,
18,2020-04-13T00:00:00.000,OH,6975,457.0,268,20.0,2020-04-12T16:22:39.452,Agree,Agree,6881.0,94,94
19,2020-04-13T00:00:00.000,AL,3803,220.0,62,1.0,2020-04-12T16:22:39.452,Agree,Agree,,,
20,2020-04-13T00:00:00.000,VA,6171,424.0,154,5.0,2020-04-12T16:22:39.452,Agree,Agree,,,
21,2020-04-13T00:00:00.000,MI,25635,997.0,1602,115.0,2020-04-12T16:22:39.452,Agree,Agree,,,
22,2020-04-13T00:00:00.000,MS,3087,145.0,111,13.0,2020-04-12T16:22:39.452,Agree,Agree,,,
23,2020-04-13T00:00:00.000,WI,3428,87.0,154,10.0,2020-04-12T16:22:39.452,Agree,Agree,,,
24,2020-04-13T00:00:00.000,IL,22025,1173.0,794,74.0,2020-04-12T16:22:39.452,Agree,Agree,,,
25,2020-04-13T00:00:00.000,CA,22348,554.0,687,36.0,2020-04-12T16:22:39.452,Not agree,Not agree,,,
26,2020-04-13T00:00:00.000,TX,13906,422.0,287,16.0,2020-04-12T16:22:39.452,Not agree,Not agree,,,
27,2020-04-13T00:00:00.000,PR,903,6.0,45,1.0,2020-04-12T16:22:39.452,Agree,Agree,,,
28,2020-04-13T00:00:00.000,NJ,64584,2734.0,2443,93.0,2020-04-12T16:22:39.452,Not agree,Agree,,,
29,2020-04-13T00:00:00.000,NC,4816,296.0,86,5.0,2020-04-12T16:22:39.452,Agree,Agree,,,
30,2020-04-13T00:00:00.000,LA,21016,421.0,884,44.0,2020-04-12T16:22:39.452,Not agree,Agree,,,
31,2020-04-13T00:00:00.000,OK,2069,99.0,99,3.0,2020-04-12T16:22:39.452,Agree,Agree,,,
32,2020-04-13T00:00:00.000,NV,2971,135.0,120,6.0,2020-04-12T16:22:39.452,,,,,
33,2020-04-13T00:00:00.000,ID,1486,28.0,33,6.0,2020-04-12T16:22:39.452,Agree,Agree,,,
34,2020-04-13T00:00:00.000,GA,13621,609.0,481,34.0,2020-04-12T16:22:39.452,Not agree,Not agree,,,
35,2020-04-13T00:00:00.000,IN,8236,308.0,350,0.0,2020-04-12T16:22:39.452,Not agree,Agree,,,
36,2020-04-13T00:00:00.000,NY,88268,2782.0,2661,218.0,2020-04-12T16:22:39.452,Not agree,Not agree,,,
37,2020-04-13T00:00:00.000,MD,9472,536.0,302,40.0,2020-04-12T16:22:39.452,N/A,Agree,,,
38,2020-04-13T00:00:00.000,AR,1410,103.0,30,1.0,2020-04-12T16:22:39.452,Not agree,Not agree,,,
39,2020-04-13T00:00:00.000,OR,1584,57.0,53,1.0,2020-04-12T16:22:39.452,Agree,Agree,,,
40,2020-04-13T00:00:00.000,MN,1695,74.0,79,9.0,2020-04-12T16:22:39.452,N/A,Agree,,,
41,2020-04-13T00:00:00.000,MO,4388,228.0,114,4.0,2020-04-12T16:22:39.452,Not agree,Not agree,,,
42,2020-04-13T00:00:00.000,UT,2392,54.0,18,0.0,2020-04-12T16:22:39.452,Agree,Agree,,,
43,2020-04-13T00:00:00.000,WV,626,15.0,9,1.0,2020-04-12T16:22:39.452,Agree,Not agree,,,
44,2020-04-13T00:00:00.000,DE,1761,136.0,41,6.0,2020-04-12T16:22:39.452,Agree,Agree,,,
45,2020-04-13T00:00:00.000,SD,868,138.0,6,0.0,2020-04-12T16:22:39.452,N/A,Agree,,,
46,2020-04-13T00:00:00.000,RI,2976,311.0,73,10.0,2020-04-12T16:22:39.452,Not agree,N/A,,,
47,2020-04-13T00:00:00.000,NH,1020,35.0,23,0.0,2020-04-12T16:22:39.452,Not agree,Not agree,,,
48,2020-04-13T00:00:00.000,DC,1955,80.0,52,2.0,2020-04-12T16:22:39.452,,,,,
49,2020-04-13T00:00:00.000,KS,1376,-1.0,62,5.0,2020-04-12T16:22:39.452,Agree,N/A,,,
50,2020-04-13T00:00:00.000,ME,698,65.0,19,0.0,2020-04-12T16:22:39.452,Agree,N/A,,,
51,2020-04-13T00:00:00.000,MT,398,4.0,7,1.0,2020-04-12T16:22:39.452,Agree,Agree,,,
52,2020-04-13T00:00:00.000,HI,504,39.0,9,0.0,2020-04-12T16:22:39.452,Not agree,Not agree,,,
53,2020-04-13T00:00:00.000,AK,277,5.0,8,0.0,2020-04-12T16:22:39.452,N/A,N/A,,,
54,2020-04-13T00:00:00.000,GU,135,2.0,5,0.0,2020-04-12T16:22:39.452,Not agree,Not agree,,,3
55,2020-04-13T00:00:00.000,VT,748,21.0,28,1.0,2020-04-12T16:22:39.452,Not agree,Not agree,,,
56,2020-04-13T00:00:00.000,VI,51,0.0,1,0.0,2020-04-12T16:22:39.452,,,,,
57,2020-04-13T00:00:00.000,MP,11,0.0,2,0.0,2020-04-12T16:22:39.452,Agree,Agree,,,
58,2020-04-13T00:00:00.000,FSM,0,0.0,0,0.0,2020-04-12T16:22:39.452,Agree,Agree,,,
59,2020-04-13T00:00:00.000,PW,0,0.0,0,0.0,2020-04-12T16:22:39.452,,,,,
