,submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
0,2020-11-15T00:00:00.000,CO,163417,155258.0,8159,4183.0,40,2546,2137.0,409,21.0,0,2020-11-16T18:40:02.302,Agree,Agree
1,2020-11-15T00:00:00.000,FL,872810,,,9820.0,3502,17518,,,29.0,1,2020-11-16T18:40:02.302,Not agree,Not agree
2,2020-11-15T00:00:00.000,AZ,275436,268103.0,7333,2383.0,88,6302,5846.0,456,2.0,1,2020-11-16T18:40:02.302,Agree,Agree
3,2020-11-15T00:00:00.000,SC,195507,184360.0,11147,1493.0,76,4112,3846.0,266,2.0,0,2020-11-16T18:40:02.302,Agree,Agree
4,2020-11-15T00:00:00.000,CT,88645,82854.0,5791,0.0,0,4737,3807.0,930,0.0,0,2020-11-16T18:40:02.302,Agree,Agree
5,2020-11-15T00:00:00.000,NE,98161,,,1327.0,0,779,,,0.0,0,2020-11-16T18:40:02.302,Not agree,Not agree
6,2020-11-15T00:00:00.000,KY,137586,114044.0,23542,1449.0,319,1661,1624.0,37,3.0,0,2020-11-16T18:40:02.302,Agree,Agree
7,2020-11-15T00:00:00.000,WY,22494,19298.0,3196,613.0,41,144,144.0,0,0.0,0,2020-11-16T18:40:02.302,Agree,Agree
8,2020-11-15T00:00:00.000,IA,185156,,,3824.0,286,1985,,,12.0,0,2020-11-16T18:40:02.302,Not agree,Not agree
9,2020-11-15T00:00:00.000,NM,64201,,,1030.0,0,1215,,,7.0,0,2020-11-16T18:40:02.302,N/A,Not agree
10,2020-11-15T00:00:00.000,ND,64885,,,1089.0,0,743,,,7.0,0,2020-11-16T18:40:02.302,Not agree,Not agree
11,2020-11-15T00:00:00.000,WA,130040,,,2309.0,0,2519,,,0.0,0,2020-11-16T18:40:02.302,N/A,N/A
12,2020-11-15T00:00:00.000,RMI,1,1.0,0,0.0,0,0,0.0,0,0.0,0,2020-11-16T18:40:02.302,Agree,Agree
13,2020-11-15T00:00:00.000,TN,310937,289358.0,21579,5817.0,632,3893,3620.0,273,16.0,0,2020-11-16T18:40:02.302,Agree,Agree
