,submission_date,state,tot_cases,new_case,tot_death,new_death,created_at,consent_cases,consent_deaths
0,2020-04-04T00:00:00.000,CO,4565,392.0,126,15.0,2020-04-03T16:22:39.452,Agree,Agree
1,2020-04-04T00:00:00.000,FL,11173,1248.0,195,25.0,2020-04-03T16:22:39.452,Not agree,Not agree
2,2020-04-04T00:00:00.000,AZ,2019,250.0,52,11.0,2020-04-03T16:22:39.452,Agree,Agree
3,2020-04-04T00:00:00.000,SC,1917,217.0,40,6.0,2020-04-03T16:22:39.452,Agree,Agree
4,2020-04-04T00:00:00.000,CT,5276,361.0,165,33.0,2020-04-03T16:22:39.452,Agree,Agree
5,2020-04-04T00:00:00.000,NE,323,38.0,8,2.0,2020-04-03T16:22:39.452,Not agree,Not agree
6,2020-04-04T00:00:00.000,KY,917,86.0,40,3.0,2020-04-03T16:22:39.452,Agree,Agree
7,2020-04-04T00:00:00.000,WY,187,21.0,0,0.0,2020-04-03T16:22:39.452,Agree,Agree
8,2020-04-04T00:00:00.000,IA,786,87.0,14,3.0,2020-04-03T16:22:39.452,Not agree,Not agree
9,2020-04-04T00:00:00.000,NM,543,48.0,11,1.0,2020-04-03T16:22:39.452,N/A,Not agree
10,2020-04-04T00:00:00.000,ND,186,13.0,3,0.0,2020-04-03T16:22:39.452,Not agree,Not agree
11,2020-04-04T00:00:00.000,WA,7591,625.0,310,26.0,2020-04-03T16:22:39.452,N/A,N/A
12,2020-04-04T00:00:00.000,RMI,0,0.0,0,0.0,2020-04-03T16:22:39.452,Agree,Agree
13,2020-04-04T00:00:00.000,TN,3103,223.0,42,6.0,2020-04-03T16:22:39.452,Agree,Agree
14,2020-04-04T00:00:00.000,AS,0,0.0,0,0.0,2020-04-03T16:22:39.452,,
15,2020-04-04T00:00:00.000,MA,11736,1334.0,216,24.0,2020-04-03T16:22:39.452,Agree,Agree
16,2020-04-04T00:00:00.000,PA,10017,1596.0,136,34.0,2020-04-03T16:22:39.452,Agree,Not agree
17,2020-04-04T00:00:00.000,NYC,60850,4561.0,2254,387.0,2020-04-03T16:22:39.452,Agree,Agree
18,2020-04-04T00:00:00.000,OH,3739,427.0,102,11.0,2020-04-03T16:22:39.452,Agree,Agree
19,2020-04-04T00:00:00.000,AL,1633,98.0,26,5.0,2020-04-03T16:22:39.452,Agree,Agree
20,2020-04-04T00:00:00.000,VA,2407,395.0,52,6.0,2020-04-03T16:22:39.452,Agree,Agree
21,2020-04-04T00:00:00.000,MI,14225,1555.0,540,62.0,2020-04-03T16:22:39.452,Agree,Agree
