,submission_date,state,tot_cases,new_case,tot_death,new_death,created_at,consent_cases,consent_deaths,conf_cases,prob_cases,pnew_case,conf_death,prob_death,pnew_death
0,2020-04-17T00:00:00.000,CO,9047,465.0,391,18.0,2020-04-17T16:22:39.452,Agree,Agree,,,,,,
1,2020-04-17T00:00:00.000,FL,24066,1392.0,726,58.0,2020-04-17T16:22:39.452,Not agree,Not agree,,,,,,
2,2020-04-17T00:00:00.000,AZ,4507,273.0,169,19.0,2020-04-17T16:22:39.452,Agree,Agree,,,,,,
3,2020-04-17T00:00:00.000,SC,4086,155.0,116,7.0,2020-04-17T16:22:39.452,Agree,Agree,,,,,,
4,2020-04-17T00:00:00.000,CT,16809,925.0,1036,65.0,2020-04-17T16:22:39.452,Agree,Agree,,,,,,
5,2020-04-17T00:00:00.000,NE,1138,72.0,24,0.0,2020-04-17T16:22:39.452,Not agree,Not agree,,,,,,
6,2020-04-17T00:00:00.000,KY,2522,93.0,137,8.0,2020-04-17T16:22:39.452,Agree,Agree,,,,,,
7,2020-04-17T00:00:00.000,WY,412,11.0,2,0.0,2020-04-17T16:22:39.452,Agree,Agree,305.0,107,2,2.0,0,0
8,2020-04-17T00:00:00.000,IA,2332,191.0,64,4.0,2020-04-17T16:22:39.452,Not agree,Not agree,,,,,,
9,2020-04-17T00:00:00.000,NM,1711,114.0,51,7.0,2020-04-17T16:22:39.452,N/A,Not agree,,,,,,
10,2020-04-17T00:00:00.000,ND,439,46.0,9,0.0,2020-04-17T16:22:39.452,Not agree,Not agree,,,,,,
11,2020-04-17T00:00:00.000,WA,11445,293.0,603,20.0,2020-04-17T16:22:39.452,N/A,N/A,,,,,,
12,2020-04-17T00:00:00.000,RMI,0,0.0,0,0.0,2020-04-17T16:22:39.452,Agree,Agree,,,,,,
13,2020-04-17T00:00:00.000,TN,6330,68.0,141,0.0,2020-04-17T16:22:39.452,Agree,Agree,,,,,,
14,2020-04-17T00:00:00.000,AS,0,0.0,0,0.0,2020-04-17T16:22:39.452,,,,,,,,
15,2020-04-17T00:00:00.000,MA,34402,2221.0,1404,159.0,2020-04-17T16:22:39.452,Agree,Agree,,,,,,
16,2020-04-17T00:00:00.000,PA,29442,1707.0,756,49.0,2020-04-17T16:22:39.452,Agree,Not agree,,,,,,
17,2020-04-17T00:00:00.000,NYC,122148,4583.0,12199,722.0,2020-04-17T16:22:39.452,Agree,Agree,122148.0,0,0,7890.0,4309,395
18,2020-04-17T00:00:00.000,OH,9107,693.0,418,29.0,2020-04-17T16:22:39.452,Agree,Agree,8858.0,249,74,401.0,17,1
19,2020-04-17T00:00:00.000,AL,4572,168.0,96,14.0,2020-04-17T16:22:39.452,Agree,Agree,,,,,,
20,2020-04-17T00:00:00.000,VA,8053,562.0,231,0.0,2020-04-17T16:22:39.452,Agree,Agree,,,,,,
21,2020-04-17T00:00:00.000,MI,29952,689.0,2226,133.0,2020-04-17T16:22:39.452,Agree,Agree,,,,,,
22,2020-04-17T00:00:00.000,MS,3793,0.0,140,0.0,2020-04-17T16:22:39.452,Agree,Agree,,,,,,
23,2020-04-17T00:00:00.000,WI,4045,170.0,205,8.0,2020-04-17T16:22:39.452,Agree,Agree,,,,,,
24,2020-04-17T00:00:00.000,IL,27575,1842.0,1134,62.0,2020-04-17T16:22:39.452,Agree,Agree,,,,,,
25,2020-04-17T00:00:00.000,CA,27528,1346.0,985,95.0,2020-04-17T16:22:39.452,Not agree,Not agree,,,,,,
26,2020-04-17T00:00:00.000,TX,17371,916.0,428,35.0,2020-04-17T16:22:39.452,Not agree,Not agree,,,,,,
27,2020-04-17T00:00:00.000,PR,1068,25.0,58,2.0,2020-04-17T16:22:39.452,Agree,Agree,,,,,,
28,2020-04-17T00:00:00.000,NJ,78467,3150.0,3840,322.0,2020-04-17T16:22:39.452,Not agree,Agree,,,,,,
29,2020-04-17T00:00:00.000,NC,5859,394.0,152,21.0,2020-04-17T16:22:39.452,Agree,Agree,,,,,,
30,2020-04-17T00:00:00.000,LA,23118,586.0,1213,57.0,2020-04-17T16:22:39.452,Not agree,Agree,,,,,,
31,2020-04-17T00:00:00.000,OK,2465,106.0,136,5.0,2020-04-17T16:22:39.452,Agree,Agree,,,,,,
32,2020-04-17T00:00:00.000,NV,3524,203.0,151,9.0,2020-04-17T16:22:39.452,,,,,,,,
33,2020-04-17T00:00:00.000,ID,1655,46.0,43,2.0,2020-04-17T16:22:39.452,Agree,Agree,1566.0,89,8,29.0,14,0
34,2020-04-17T00:00:00.000,GA,16658,207.0,661,37.0,2020-04-17T16:22:39.452,Not agree,Not agree,,,,,,
35,2020-04-17T00:00:00.000,IN,10154,612.0,519,42.0,2020-04-17T16:22:39.452,Not agree,Agree,,,,,,
36,2020-04-17T00:00:00.000,NY,102290,3152.0,3560,313.0,2020-04-17T16:22:39.452,Not agree,Not agree,,,,,,
37,2020-04-17T00:00:00.000,MD,11572,0.0,494,0.0,2020-04-17T16:22:39.452,N/A,Agree,,,0,425.0,69,0
