,submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
0,2020-08-14T00:00:00.000,CO,52538,48985.0,3553,409.0,101,1888,1545.0,343,6.0,0,2020-08-15T14:02:05.619,Agree,Agree
1,2020-08-14T00:00:00.000,FL,557337,,,6105.0,132,9141,,,228.0,2,2020-08-15T14:02:05.619,Not agree,Not agree
2,2020-08-14T00:00:00.000,AZ,191721,190292.0,1429,927.0,21,4423,4169.0,254,40.0,1,2020-08-15T14:02:05.619,Agree,Agree
3,2020-08-14T00:00:00.000,SC,104841,103880.0,961,932.0,103,2204,2106.0,98,18.0,1,2020-08-15T14:02:05.619,Agree,Agree
4,2020-08-14T00:00:00.000,CT,50897,48887.0,2010,115.0,2,4453,3569.0,884,3.0,0,2020-08-15T14:02:05.619,Agree,Agree
5,2020-08-14T00:00:00.000,NE,29988,,,328.0,0,361,,,1.0,0,2020-08-15T14:02:05.619,Not agree,Not agree
6,2020-08-14T00:00:00.000,KY,38298,35565.0,2733,612.0,83,804,799.0,5,8.0,0,2020-08-15T14:02:05.619,Agree,Agree
7,2020-08-14T00:00:00.000,WY,3183,2694.0,489,64.0,-3,30,30.0,0,0.0,0,2020-08-15T14:02:05.619,Agree,Agree
8,2020-08-14T00:00:00.000,IA,50935,,,599.0,0,966,,,7.0,0,2020-08-15T14:02:05.619,Not agree,Not agree
9,2020-08-14T00:00:00.000,NM,23160,,,173.0,0,703,,,6.0,0,2020-08-15T14:02:05.619,N/A,Not agree
10,2020-08-14T00:00:00.000,ND,8444,,,122.0,0,121,,,0.0,0,2020-08-15T14:02:05.619,Not agree,Not agree
11,2020-08-14T00:00:00.000,WA,66139,,,800.0,0,1755,,,19.0,0,2020-08-15T14:02:05.619,N/A,N/A
12,2020-08-14T00:00:00.000,RMI,0,0.0,0,0.0,0,0,0.0,0,0.0,0,2020-08-15T14:02:05.619,Agree,Agree
13,2020-08-14T00:00:00.000,TN,130458,128315.0,2143,1947.0,68,1326,1285.0,41,13.0,1,2020-08-15T14:02:05.619,Agree,Agree
14,2020-08-14T00:00:00.000,AS,0,,,0.0,0,0,,,0.0,0,2020-08-15T14:02:05.619,,
15,2020-08-14T00:00:00.000,MA,124081,113729.0,10352,1826.0,1614,8804,8582.0,222,14.0,0,2020-08-15T14:02:05.619,Agree,Agree
16,2020-08-14T00:00:00.000,PA,122950,119512.0,3438,829.0,48,7445,,,36.0,-8,2020-08-15T14:02:05.619,Agree,Not agree
17,2020-08-14T00:00:00.000,NYC,230682,226043.0,4639,0.0,0,23615,18987.0,4628,0.0,0,2020-08-15T14:02:05.619,Agree,Agree
18,2020-08-14T00:00:00.000,OH,106557,100945.0,5612,1131.0,42,3784,3510.0,274,29.0,0,2020-08-15T14:02:05.619,Agree,Agree
19,2020-08-14T00:00:00.000,AL,106309,102196.0,4113,752.0,52,1893,1825.0,68,3.0,-1,2020-08-15T14:02:05.619,Agree,Agree
20,2020-08-14T00:00:00.000,VA,105753,101451.0,4302,915.0,67,2381,2265.0,116,11.0,1,2020-08-15T14:02:05.619,Agree,Agree
21,2020-08-14T00:00:00.000,MI,100724,91140.0,9584,868.0,120,6566,6300.0,266,11.0,0,2020-08-15T14:02:05.619,Agree,Agree
22,2020-08-14T00:00:00.000,MS,70930,69268.0,1662,944.0,106,2043,1965.0,78,32.0,9,2020-08-15T14:02:05.619,Agree,Agree
23,2020-08-14T00:00:00.000,WI,68681,64227.0,4454,1059.0,38,1032,1025.0,7,7.0,0,2020-08-15T14:02:05.619,Agree,Agree
24,2020-08-14T00:00:00.000,IL,204023,202691.0,1332,2296.0,32,7932,7721.0,211,27.0,2,2020-08-15T14:02:05.619,Agree,Agree
25,2020-08-14T00:00:00.000,CA,601075,,,7934.0,0,10996,,,188.0,0,2020-08-15T14:02:05.619,Not agree,Not agree
26,2020-08-14T00:00:00.000,TX,520593,,,7018.0,0,9602,,,313.0,0,2020-08-15T14:02:05.619,Not agree,Not agree
27,2020-08-14T00:00:00.000,PR,25695,11069.0,14626,567.0,228,329,201.0,128,12.0,3,2020-08-15T14:02:05.619,Agree,Agree
28,2020-08-14T00:00:00.000,NJ,187164,,,570.0,0,15903,14064.0,1839,10.0,0,2020-08-15T14:02:05.619,Not agree,Agree
