,submission_date,state,tot_cases,new_case,tot_death,new_death,created_at,consent_cases,consent_deaths,conf_cases,prob_cases,pnew_case,conf_death,prob_death,pnew_death
0,2020-04-15T00:00:00.000,CO,8280,339.0,357,28.0,2020-04-15T16:22:39.452,Agree,Agree,,,,,,
1,2020-04-15T00:00:00.000,FL,21865,881.0,614,43.0,2020-04-15T16:22:39.452,Not agree,Not agree,,,,,,
2,2020-04-15T00:00:00.000,AZ,3962,156.0,142,11.0,2020-04-15T16:22:39.452,Agree,Agree,,,,,,
3,2020-04-15T00:00:00.000,SC,3656,103.0,107,10.0,2020-04-15T16:22:39.452,Agree,Agree,,,,,,
4,2020-04-15T00:00:00.000,CT,14755,766.0,868,260.0,2020-04-15T16:22:39.452,Agree,Agree,,,,,,
5,2020-04-15T00:00:00.000,NE,952,51.0,21,1.0,2020-04-15T16:22:39.452,Not agree,Not agree,,,,,,
6,2020-04-15T00:00:00.000,KY,2291,81.0,122,7.0,2020-04-15T16:22:39.452,Agree,Agree,,,,,,
7,2020-04-15T00:00:00.000,WY,393,-101.0,2,1.0,2020-04-15T16:22:39.452,Agree,Agree,288.0,105,4,2.0,0,0
8,2020-04-15T00:00:00.000,IA,1995,96.0,53,4.0,2020-04-15T16:22:39.452,Not agree,Not agree,,,,,,
9,2020-04-15T00:00:00.000,NM,1484,77.0,36,0.0,2020-04-15T16:22:39.452,N/A,Not agree,,,,,,
10,2020-04-15T00:00:00.000,ND,365,24.0,9,0.0,2020-04-15T16:22:39.452,Not agree,Not agree,,,,,,
11,2020-04-15T00:00:00.000,WA,10783,89.0,567,21.0,2020-04-15T16:22:39.452,N/A,N/A,,,,,,
12,2020-04-15T00:00:00.000,RMI,0,0.0,0,0.0,2020-04-15T16:22:39.452,Agree,Agree,,,,,,
13,2020-04-15T00:00:00.000,TN,5836,13.0,134,10.0,2020-04-15T16:22:39.452,Agree,Agree,,,,,,
14,2020-04-15T00:00:00.000,AS,0,0.0,0,0.0,2020-04-15T16:22:39.452,,,,,,,,
15,2020-04-15T00:00:00.000,MA,29918,1755.0,1108,151.0,2020-04-15T16:22:39.452,Agree,Agree,,,,,,
16,2020-04-15T00:00:00.000,PA,26490,1145.0,647,63.0,2020-04-15T16:22:39.452,Agree,Not agree,,,,,,
17,2020-04-15T00:00:00.000,NYC,116073,5982.0,11225,4585.0,2020-04-15T16:22:39.452,Agree,Agree,116073.0,0,0,7166.0,4059,4059
18,2020-04-15T00:00:00.000,OH,7791,511.0,361,37.0,2020-04-15T16:22:39.452,Agree,Agree,7628.0,163,36,346.0,15,15
19,2020-04-15T00:00:00.000,AL,4241,288.0,75,2.0,2020-04-15T16:22:39.452,Agree,Agree,,,,,,
20,2020-04-15T00:00:00.000,VA,6889,389.0,208,13.0,2020-04-15T16:22:39.452,Agree,Agree,,,,,,
21,2020-04-15T00:00:00.000,MI,28059,1058.0,1921,153.0,2020-04-15T16:22:39.452,Agree,Agree,,,,,,
22,2020-04-15T00:00:00.000,MS,3624,264.0,129,7.0,2020-04-15T16:22:39.452,Agree,Agree,,,,,,
