Date,state,tot_cases,new_case,tot_death,new_death,submission_date,case fatality rate,State or Region Code,Population,death rate,Total Cases per Population,New Cases per Population,7 day average new cases,Adjusted Case Rate,Risk Level
2020-01-22,KY,0.0,0.0,0.0,0.0,2020-01-22T00:00:00.000,0.0,KY,4467673.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-22,WY,0.0,0.0,0.0,0.0,2020-01-22T00:00:00.000,0.0,WY,578759.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-22,ND,0.0,0.0,0.0,0.0,2020-01-22T00:00:00.000,0.0,ND,762062.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-22,WA,1.0,1.0,0.0,0.0,2020-01-22T00:00:00.000,0.0,WA,7614893.0,0.0,1.3132160885254723e-07,1.3132160885254723e-07,1.0,0.0,Minimal Tier 4
2020-01-22,TN,0.0,0.0,0.0,0.0,2020-01-22T00:00:00.000,0.0,TN,6833174.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-22,AS,0.0,0.0,0.0,0.0,2020-01-22T00:00:00.000,0.0,AS,55641.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-22,NYC,0.0,0.0,0.0,0.0,2020-01-22T00:00:00.000,0.0,NYC,8336817.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-22,IA,0.0,0.0,0.0,0.0,2020-01-22T00:00:00.000,0.0,IA,3155070.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-22,OH,0.0,0.0,0.0,0.0,2020-01-22T00:00:00.000,0.0,OH,11689100.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-22,MS,0.0,0.0,0.0,0.0,2020-01-22T00:00:00.000,0.0,MS,2976149.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-22,NM,0.0,0.0,0.0,0.0,2020-01-22T00:00:00.000,0.0,NM,2096829.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-22,AL,0.0,0.0,0.0,0.0,2020-01-22T00:00:00.000,0.0,AL,4903185.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-22,VA,0.0,0.0,0.0,0.0,2020-01-22T00:00:00.000,0.0,VA,8535519.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-22,MI,0.0,0.0,0.0,0.0,2020-01-22T00:00:00.000,0.0,MI,9986857.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-22,WI,0.0,0.0,0.0,0.0,2020-01-22T00:00:00.000,0.0,WI,5822434.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-22,IL,0.0,0.0,0.0,0.0,2020-01-22T00:00:00.000,0.0,IL,12671821.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-22,TX,0.0,0.0,0.0,0.0,2020-01-22T00:00:00.000,0.0,TX,28995881.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-22,PR,0.0,0.0,0.0,0.0,2020-01-22T00:00:00.000,0.0,PR,3193694.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-22,PA,0.0,0.0,0.0,0.0,2020-01-22T00:00:00.000,0.0,PA,12801989.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-22,US,1.0,1.0,0.0,0.0,2020-01-22,0.0,US,331814684.0,0.0,3.013730398983789e-09,3.013730398983789e-09,1.0,0.0,Minimal Tier 4
2020-01-22,CA,0.0,0.0,0.0,0.0,2020-01-22T00:00:00.000,0.0,CA,39512223.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,GA,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,GA,10617423.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,MO,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,MO,6137428.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,CO,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,CO,5758736.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,NV,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,NV,3080156.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,OK,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,OK,3956971.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,RI,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,RI,1059361.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,AR,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,AR,3017825.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,UT,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,UT,3205958.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,MN,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,MN,5639632.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,NY,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,NY,19453561.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,MD,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,MD,6045680.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,IN,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,IN,6732219.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,DE,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,DE,973764.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,AK,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,AK,731545.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,SD,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,SD,884659.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,NC,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,NC,10488084.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,ME,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,ME,1344212.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,DC,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,DC,705749.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,NH,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,NH,1359711.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,KS,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,KS,2913314.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,MT,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,MT,1068778.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,HI,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,HI,1415872.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,GU,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,GU,165718.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-23,VT,0.0,0.0,0.0,0.0,2020-01-23T00:00:00.000,0.0,VT,623989.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
